序号,学校名称,学校标识码,主管部门,备注,
北京市（23所）,,,,,
1,北京市海淀区职工大学,4211050001,北京市,,
2,北京市东城区职工业余大学,4211050002,北京市,,
3,北京市崇文区职工大学,4211050004,北京市,,
4,北京宣武红旗业余大学,4211050005,北京市,,
5,北京市石景山区业余大学,4211050006,北京市,,
6,北京市朝阳区职工大学,4211050007,北京市,,
7,北京医药职工大学,4211050018,北京市,,
8,北京市总工会职工大学,4211050025,北京市,,
9,中央党校继续教育学院,4211050038,中共中央党校,,
10,中国记协职工新闻学院,4211050043,中华全国新闻工作者协会,,
11,中南海业余大学,4211050044,中共中央办公厅,,
12,北京教育学院,4211050061,北京市,,
13,北京开放大学,4211051160,北京市,,
14,国家开放大学,4211051161,教育部,,
15,民航管理干部学院,4211051167,交通运输部,,
16,北京市丰台区职工大学,4211051624,北京市,,
17,北京市西城经济科学大学,4211051626,北京市,,
18,北京市农工商联合总公司职工大学,4211051630,北京市,,
19,公安部管理干部学院,4211051643,公安部,,
20,国家法官学院,4211051651,最高人民法院,,
21,华北电业联合职工大学,4211051800,北京市,,
22,首都联合职工大学,4211051837,北京市,,
23,国家检察官学院,4211051898,最高人民检察院,,
天津市（13所）,,,,,
24,天津市和平区新华职工大学,4212050063,天津市,,
25,天津市河西区职工大学,4212050064,天津市,,
26,天津市河东区职工大学,4212050065,天津市,,
27,天津市红桥区职工大学,4212050066,天津市,,
28,天津市南开区职工大学,4212050068,天津市,,
29,天津市建筑工程职工大学,4212050070,天津市,,
30,天津市职工经济技术大学,4212050073,天津市,,
31,天津市渤海化工职工学院,4212050095,天津市,,
32,天津市管理干部学院,4212050121,天津市,,
33,天津开放大学,4212051171,天津市,,
34,天津市政法管理干部学院,4212051175,天津市,,
35,天津市工会管理干部学院,4212051176,天津市,,
36,天津市房地产局职工大学,4212051659,天津市,,
河北省（5所）,,,,,
37,河北开放大学,4213051177,河北省,,
38,石家庄职工大学,4213051180,河北省,,
39,海关管理干部学院,4231051332,海关总署,,
40,河北管理干部学院,4213051723,河北省,,
41,河北青年管理干部学院,4213051802,河北省,,
山西省（8所）,,,,,
42,太原化学工业集团有限公司职工大学,4214050162,山西省,,
43,山西机电职工学院,4214050163,山西省,,
44,太原钢铁(集团)有限公司职工钢铁学院,4214050164,山西省,,
45,山西煤炭职工联合大学,4214050167,山西省,,
46,山西兵器工业职工大学,4214050169,山西省,,
47,山西省职工工艺美术学院,4214050175,山西省,,
48,山西开放大学,4214051187,山西省,,
49,山西省政法管理干部学院,4214051787,山西省,,
内蒙古自治区（2所）,,,,,
50,包头市职工大学,4215050204,内蒙古自治区,,
51,内蒙古开放大学,4215051192,内蒙古自治区,,
辽宁省（18所）,,,,,
52,辽宁兵器工业职工大学,4221051087,辽宁省,,
53,大连工人大学,4221051110,辽宁省,,
54,空军第四职工大学,4221051117,空军装备部,,
55,海军职工大学,4221051118,海军装备部,,
56,大连职工大学,4221051120,辽宁省,,
57,抚顺矿务局职工工学院,4221051125,辽宁省,,
58,抚顺石油化工公司职工大学,4221051126,辽宁省,,
59,阜新矿务局职工大学,4221051138,辽宁省,,
60,朝阳职工工学院,4221051143,辽宁省,,
61,大连市教育学院,4221051149,辽宁省,,
62,辽宁开放大学,4221051196,辽宁省,,
63,阜新煤炭职工医学专科学校,4221051227,辽宁省,,
64,辽宁冶金职工大学,4221051695,辽宁省,,
65,辽宁公安司法管理干部学院,4221051842,辽宁省,,
66,沈阳机械工业职工大学,4221051843,辽宁省,,
67,鞍山钢铁集团公司职工大学,4221051845,辽宁省,,
68,沈阳开放大学,4221051848,辽宁省,,
69,大连开放大学,4221051849,辽宁省,,
吉林省（14所）,,,,,
70,长春职工大学,4222050226,吉林省,,
71,长春市建筑职工业余大学,4222050229,吉林省,,
72,长春职工医科大学,4222050232,吉林省,,
73,吉林市职工大学,4222050234,吉林省,,
74,吉林化学工业公司职工大学,4222050236,吉林省,,
75,通化市职工大学,4222050242,吉林省,,
76,通化钢铁公司职工大学,4222050243,吉林省,,
77,四平农村成人高等专科学校,4222050249,吉林省,,
78,吉林省教育学院,4222050252,吉林省,,
79,长春教育学院,4222050253,吉林省,,
80,吉林开放大学,4222051230,吉林省,,
81,吉林省经济管理干部学院,4222051243,吉林省,,
82,吉林职工医科大学,4222051704,吉林省,,
83,长春开放大学,4222051887,吉林省,,
黑龙江省（16所）,,,,,
84,黑龙江兵器工业职工大学,4223050264,黑龙江省,,
85,哈尔滨航空职工大学,4223050266,黑龙江省,,
86,哈尔滨市职工大学,4223050269,黑龙江省,,
87,齐齐哈尔市建设职工大学,4223050306,黑龙江省,,
88,齐齐哈尔市职工大学,4223050311,黑龙江省,,
89,鹤岗矿务局职工大学,4223050327,黑龙江省,,
90,大庆石油化工总厂职工大学,4223050330,黑龙江省,,
91,黑龙江农垦管理干部学院,4223050337,黑龙江省,,
92,黑龙江省经济管理干部学院,4223050335,黑龙江省,,
93,黑龙江省政法管理干部学院,4223050343,黑龙江省,,
94,黑龙江省教育学院,4223050344,黑龙江省,,
95,绥化市教育学院,4223050349,黑龙江省,,
96,黑龙江开放大学,4223051244,黑龙江省,,
97,黑龙江省商业职工大学,4223051744,黑龙江省,,
98,黑龙江省社会科学院职工大学,4223051745,黑龙江省,,
99,哈尔滨开放大学,4223051876,黑龙江省,,
上海市（12所）,,,,,
100,上海科技管理干部学院,4231050033,上海市,,
101,上海市黄浦区业余大学,4231050363,上海市,,
102,上海市徐汇区业余大学,4231050366,上海市,,
103,上海市长宁区业余大学,4231050367,上海市,,
104,上海市静安区业余大学,4231050368,上海市,,
105,上海市普陀区业余大学,4231050369,上海市,,
106,上海市杨浦区业余大学,4231050372,上海市,,
107,上海纺织工业职工大学,4231050393,上海市,,
108,上海医药职工大学,4231050424,上海市,民办,
109,上海开放大学,4231051252,上海市,,
110,上海青年管理干部学院,4231051615,上海市,,
111,上海市宝山区业余大学,4231051852,上海市,,
江苏省（8所）,,,,,
112,南京市职工大学,4232050460,江苏省,,
113,空军第一职工大学,4232050461,空军装备部,,
114,南通市工人业余大学,4232050504,江苏省,,
115,扬州教育学院,4232050526,江苏省,,
116,江苏开放大学,4232051255,江苏省,,
117,江苏省省级机关管理干部学院,4232051257,江苏省,,
118,南京开放大学,4232051396,江苏省,,
119,江苏省青年管理干部学院,4232051828,江苏省,,
浙江省（8所）,,,,,
120,浙江省省级机关职工业余大学,4233050550,浙江省,,
121,杭州市工人业余大学,4233050551,浙江省,,
122,温州市工人业余大学,4233050554,浙江省,,
123,金华教育学院,4233050561,浙江省,,
124,浙江开放大学,4233051258,浙江省,,
125,浙江经济管理职工大学,4233051259,浙江省,,
126,浙江嘉兴教育学院,4233051814,浙江省,,
127,宁波开放大学,4233051885,浙江省,,
安徽省（6所）,,,,,
128,淮南市职工大学,4234050565,安徽省,,
129,合肥职工科技大学,4234050569,安徽省,,
130,合肥市职工大学,4234050570,安徽省,,
131,安徽经济管理干部学院,4234050581,安徽省,,
132,宿州教育学院,4234051265,安徽省,,
133,安徽开放大学,4234051388,安徽省,,
福建省（3所）,,,,,
134,福建教育学院,4235050591,福建省,,
135,福建开放大学,4235051270,福建省,,
136,厦门开放大学,4235051833,福建省,,
江西省（4所）,,,,,
137,江西行政管理干部学院,4236050151,江西省,,
138,昌河职工工学院,4236050603,江西省,,
139,南昌钢铁有限责任公司职工大学,4236050607,江西省,,
140,江西开放大学,4236051281,江西省,,
山东省（11所）,,,,,
141,山东省水利职工大学,4237050626,山东省,,
142,山东兵器工业职工大学,4237050638,山东省,,
143,新汶矿务局职工大学,4237050641,山东省,,
144,济南市职工大学,4237050644,山东省,,
145,山东省经济管理干部学院,4237050649,山东省,,
146,山东省聊城教育学院,4237050661,山东省,,
147,山东省济宁教育学院,4237050663,山东省,,
148,山东开放大学,4237051286,山东省,,
149,兖州矿区职工大学,4237051777,山东省,,
150,山东财政职工大学,4237051779,山东省,,
151,青岛开放大学,4237051858,山东省,,
河南省（10所）,,,,,
152,长城铝业公司职工工学院,4241050673,河南省,,
153,郑州市职工大学,4241050674,河南省,,
154,第一拖拉机制造厂拖拉机学院,4241050680,河南省,,
155,洛阳轴承职工大学,4241050682,河南省,,
156,洛阳有色金属职工大学,4241050686,河南省,,
157,开封空分设备厂职工大学,4241050688,河南省,,
158,河南开放大学,4241051287,河南省,,
159,焦作职工医学院,4241051408,河南省,,
160,磨料磨具工业职工大学,4241051411,河南省,,
161,驻马店教育学院,4241051413,河南省,,
湖北省（13所）,,,,,
162,武汉开放大学,4242050046,湖北省,,
163,湖北兵器工业职工大学,4242050717,湖北省,,
164,湖北省纺织职工大学,4242050733,湖北省,,
165,鄂城钢铁厂职工大学,4242050738,湖北省,,
166,丹江口工程管理局职工大学,4242050740,湖北省,,
167,湖北省直属机关业余大学,4242050742,湖北省,,
168,湖北省经济管理干部学院,4242050756,湖北省,,
169,十堰教育学院,4242050762,湖北省,,
170,大冶钢厂职工大学,4242051297,湖北省,,
171,湖北开放大学,4242051305,湖北省,,
172,武汉冶金管理干部学院,4242051773,湖北省,,
173,湖北武汉公安管理干部学院,4242051774,湖北省,,
174,华中电业联合职工大学,4242051862,湖北省,,
湖南省（11所）,,,,,
175,涟源钢铁总厂职工大学,4243050774,湖南省,,
176,株洲市职工大学,4243050788,湖南省,,
177,湖南航空工业职工工学院,4243050793,湖南省,,
178,中钢集团衡阳重机职工大学,4243050794,湖南省,,
179,衡阳工业职工大学,4243050798,湖南省,,
180,长沙教育学院,4243050810,湖南省,,
181,湖南开放大学,4243051306,湖南省,,
182,益阳教育学院,4243051310,湖南省,,
183,湖南金融技术职工大学,4243051766,湖南省,,
184,湖南纺织职工大学,4243051767,湖南省,,
185,长沙工业职工大学,4243050784,湖南省,,
广东省（14所）,,,,,
186,广州金桥管理干部学院,4244050075,广东省,,
187,南海成人学院,4244050079,广东省,,
188,湛江市业余大学,4244050821,广东省,,
189,广东省国防工业职工大学,4244050826,广东省,,
190,汕头市业余大学,4244050835,广东省,,
191,韶关市职工大学,4244050837,广东省,,
192,广州市公安管理干部学院,4244050855,广东省,,
193,广东省公安司法管理干部学院,4244050859,广东省,,
194,广东开放大学,4244051315,广东省,,
195,广东新华教育学院,4244051317,广东省教育厅,民办,
196,广东省职工体育运动技术学院,4244051319,广东省,,
197,广东社会科学大学,4244051320,广东省,,
198,广州开放大学,4244051393,广东省,,
199,深圳开放大学,4244051888,广东省,,
广西壮族自治区（4所）,,,,,
200,桂林市职工大学,4245050867,广西壮族自治区,,
201,广西教育学院,4245050870,广西壮族自治区,,
202,广西开放大学,4245051338,广西壮族自治区,,
203,广西政法管理干部学院,4245051340,广西壮族自治区,,
海南省（1所）,,,,,
204,海南开放大学,4246051865,海南省,,
重庆市（3所）,,,,,
205,重庆电力职工大学,4250050901,重庆市,,
206,重庆冶金成人学院,4250050905,重庆市,,
207,重庆开放大学,4250051866,重庆市,,
四川省（11所）,,,,,
208,中国工程物理研究院职工工学院,4251050879,四川省,,
209,国营涪江机器厂职工大学,4251050885,四川省,,
210,第五冶金建设公司职工大学,4251050908,四川省,,
211,成都工业职工大学,4251050913,四川省,,
212,四川省化工职工大学,4251050919,四川省,,
213,中国科学院成都分院职工大学,4251050928,中国科学院,,
214,广元职工医学院,4251050930,四川省,,
215,南充市职工大学,4251050932,四川省,,
216,四川开放大学,4251051341,四川省,,
217,成都市职工大学,4251051758,四川省,,
218,成都开放大学,4251051886,四川省,,
贵州省（3所）,,,,,
219,贵州铝厂职工大学,4252050962,贵州省,,
220,贵州机械工业职工大学,4252050965,贵州省,,
221,贵州开放大学,4252051352,贵州省,,
云南省（1所）,,,,,
222,云南开放大学,4253051357,云南省,,
陕西省（14所）,,,,,
223,陕西航天职工大学,4261050083,陕西省,,
224,西安航空职工大学,4261050989,陕西省,,
225,西安飞机工业公司职工工学院,4261050990,陕西省,,
226,陕西兵器工业职工大学,4261051001,陕西省,,
227,西北电业职工大学,4261051002,陕西省,,
228,西安铁路工程职工大学,4261051006,陕西省,,
229,西安电力机械制造公司机电学院,4261051009,陕西省,,
230,陕西省建筑工程总公司职工大学,4261051010,陕西省,,
231,西安市职工大学,4261051017,陕西省,,
232,宝鸡市职工大学,4261051018,陕西省,,
233,陕西省宝鸡教育学院,4261051027,陕西省,,
234,陕西开放大学,4261051370,陕西省,,
235,陕西工运学院,4261051373,陕西省,,
236,西安开放大学,4261051871,陕西省,,
甘肃省（4所）,,,,,
237,兰州铁路工程职工大学,4262051039,甘肃省,,
238,甘肃核工业职工大学,4262051040,甘肃省,,
239,银光化学材料厂职工大学,4262051042,甘肃省,,
240,甘肃开放大学,4262051374,甘肃省,,
青海省（2所）,,,,,
241,青海省联合职工大学,4263051049,青海省,,
242,青海开放大学,4263051382,青海省,,
宁夏回族自治区（1所）,,,,,
243,宁夏开放大学,4264051383,宁夏回族自治区,,
新疆维吾尔自治区（6所）,,,,,
244,新疆生产建设兵团开放大学,4265051210,新疆生产建设兵团,,
245,新疆开放大学,4265051387,新疆维吾尔自治区,,
246,喀什教育学院,4265051594,新疆维吾尔自治区,,
247,新疆生产建设兵团教育学院,4265051595,新疆生产建设兵团,,
248,和田地区教育学院,4265051599,新疆维吾尔自治区,,
249,阿克苏教育学院,4265051717,新疆维吾尔自治区,,
